	

		//>>>>	Black King Bar Faster
		"DOTA_Tooltip_Ability_item_black_king_bar_faster"	                        "Black King Bar Faster"
		"DOTA_Tooltip_ability_item_black_king_bar_faster_Description"				"<h1>Active: Avatar</h1>Grants Spell Immunity and 100% Magic Damage Resistance. Duration decreases with each use."
		"DOTA_Tooltip_ability_item_black_king_bar_faster_Lore"						"A powerful staff imbued with the strength of giants."
		"DOTA_Tooltip_ability_item_black_king_bar_faster_bonus_strength"			"+$str"
		"DOTA_Tooltip_ability_item_black_king_bar_faster_bonus_damage"				"+$damage"
		"DOTA_Tooltip_ability_item_black_king_bar_faster_duration"					"Duration: "
		"DOTA_Tooltip_modifier_black_king_bar_faster_ability"						"Avatar"
		"DOTA_Tooltip_modifier_black_king_bar_faster_ability_Description"			"Grants Spell Immunity and 100% Magic Damage Resistance. Duration decreases with each use."
		//<<<<

