
		//>>>>	MJZ Assault Cuirass LVL 2
		"DOTA_Tooltip_Ability_item_mjz_assault_2"	                        "Assault Cuirass LVL 2"
		"DOTA_Tooltip_ability_item_mjz_assault_2_Description"				"<h1>Passive: Assault Aura</h1>Grants %aura_attack_speed% attack speed and %aura_positive_armor% armor to nearby allied units and structures, and decreases nearby enemy unit and structure armor by %aura_negative_armor%. Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_assault_2_bonus_attack_speed"		"Attack speed"
		"DOTA_Tooltip_ability_item_mjz_assault_2_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_assault_2_Lore"						"Forged in the depths of the nether reaches, this hellish mail provides an army with increased armor and attack speed."
		"DOTA_Tooltip_modifier_item_mjz_assault_2_buff"						"Assault Cuirass LVL 2"
		"DOTA_Tooltip_modifier_item_mjz_assault_2_debuff"					"Assault Cuirass LVL 2"
		//<<<<
		//>>>>	MJZ Assault Cuirass LVL 3
		"DOTA_Tooltip_Ability_item_mjz_assault_3"	                        "Assault Cuirass LVL 3"
		"DOTA_Tooltip_ability_item_mjz_assault_3_Description"				"<h1>Passive: Assault Aura</h1>Grants %aura_attack_speed% attack speed and %aura_positive_armor% armor to nearby allied units and structures, and decreases nearby enemy unit and structure armor by %aura_negative_armor%. Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_assault_3_bonus_attack_speed"		"Attack speed"
		"DOTA_Tooltip_ability_item_mjz_assault_3_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_assault_3_Lore"						"Forged in the depths of the nether reaches, this hellish mail provides an army with increased armor and attack speed."
		"DOTA_Tooltip_modifier_item_mjz_assault_3_buff"						"Assault Cuirass LVL 3"
		"DOTA_Tooltip_modifier_item_mjz_assault_3_debuff"					"Assault Cuirass LVL 3"
		//<<<<
		//>>>>	MJZ Assault Cuirass LVL 4
		"DOTA_Tooltip_Ability_item_mjz_assault_4"	                        "Assault Cuirass LVL 4"
		"DOTA_Tooltip_ability_item_mjz_assault_4_Description"				"<h1>Passive: Assault Aura</h1>Grants %aura_attack_speed% attack speed and %aura_positive_armor% armor to nearby allied units and structures, and decreases nearby enemy unit and structure armor by %aura_negative_armor%. Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_assault_4_bonus_attack_speed"		"Attack speed"
		"DOTA_Tooltip_ability_item_mjz_assault_4_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_assault_4_Lore"						"Forged in the depths of the nether reaches, this hellish mail provides an army with increased armor and attack speed."
		"DOTA_Tooltip_modifier_item_mjz_assault_4_buff"						"Assault Cuirass LVL 4"
		"DOTA_Tooltip_modifier_item_mjz_assault_4_debuff"					"Assault Cuirass LVL 4"
		//<<<<
		//>>>>	MJZ Assault Cuirass LVL 5
		"DOTA_Tooltip_Ability_item_mjz_assault_5"	                        "Assault Cuirass LVL 5"
		"DOTA_Tooltip_ability_item_mjz_assault_5_Description"				"<h1>Passive: Assault Aura</h1>Grants %aura_attack_speed% attack speed and %aura_positive_armor% armor to nearby allied units and structures, and decreases nearby enemy unit and structure armor by %aura_negative_armor%. Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_mjz_assault_5_bonus_attack_speed"		"Attack speed"
		"DOTA_Tooltip_ability_item_mjz_assault_5_bonus_armor"				"+$armor"
		"DOTA_Tooltip_ability_item_mjz_assault_5_Lore"						"Forged in the depths of the nether reaches, this hellish mail provides an army with increased armor and attack speed."
		"DOTA_Tooltip_modifier_item_mjz_assault_5_buff"						"Assault Cuirass LVL 5"
		"DOTA_Tooltip_modifier_item_mjz_assault_5_debuff"					"Assault Cuirass LVL 5"
		//<<<<
