

		//>>>>	血精石 LVL 2
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_2"	                        "血精石 LVL 2"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n\n <h1>被动：魔力源泉</h1>每点能量提供%regen_per_charge%点/秒的生命和魔法回复。附近有敌方英雄阵亡时获得%kill_charges%点能量。持有者死亡时血精石失去%death_charges%点能量。具有%initial_charges_tooltip%点初始能量。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_bonus_health_regen"		"+生命恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_bonus_mana_regen"		"+魔法恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_mana_regen_multiplier"	"%+魔法恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_2_Lore"					"血精石鲜红的色彩在战场上绝对不会被看错，拥有者似乎有无限的生命力和精力。"
		//<<<<
		//>>>>	血精石 LVL 3
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_3"	                        "血精石 LVL 3"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n\n <h1>被动：魔力源泉</h1>每点能量提供%regen_per_charge%点/秒的生命和魔法回复。附近有敌方英雄阵亡时获得%kill_charges%点能量。持有者死亡时血精石失去%death_charges%点能量。具有%initial_charges_tooltip%点初始能量。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_bonus_health_regen"		"+生命恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_bonus_mana_regen"		"+魔法恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_mana_regen_multiplier"	"%+魔法恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_3_Lore"					"血精石鲜红的色彩在战场上绝对不会被看错，拥有者似乎有无限的生命力和精力。"
		//<<<<
		//>>>>	血精石 LVL 4
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_4"	                        "血精石 LVL 4"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n\n <h1>被动：魔力源泉</h1>每点能量提供%regen_per_charge%点/秒的生命和魔法回复。附近有敌方英雄阵亡时获得%kill_charges%点能量。持有者死亡时血精石失去%death_charges%点能量。具有%initial_charges_tooltip%点初始能量。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_bonus_health_regen"		"+生命恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_bonus_mana_regen"		"+魔法恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_mana_regen_multiplier"	"%+魔法恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_4_Lore"					"血精石鲜红的色彩在战场上绝对不会被看错，拥有者似乎有无限的生命力和精力。"
		//<<<<
		//>>>>	血精石 LVL 5
		"DOTA_Tooltip_Ability_item_mjz_bloodstone_5"	                        "血精石 LVL 5"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_Description"				"<h1>主动：血之契约</h1>%restore_duration%秒内将最大魔法值的%mana_cost_percentage%%%转化为生命恢复。\n\n <h1>被动：魔力源泉</h1>每点能量提供%regen_per_charge%点/秒的生命和魔法回复。附近有敌方英雄阵亡时获得%kill_charges%点能量。持有者死亡时血精石失去%death_charges%点能量。具有%initial_charges_tooltip%点初始能量。"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_bonus_health"			"+$health"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_bonus_mana"				"+$mana"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_bonus_health_regen"		"+生命恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_bonus_mana_regen"		"+魔法恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_mana_regen_multiplier"	"%+魔法恢复"
		"DOTA_Tooltip_ability_item_mjz_bloodstone_5_Lore"					"血精石鲜红的色彩在战场上绝对不会被看错，拥有者似乎有无限的生命力和精力。"
		//<<<<
