
		//>>>>	Lion's Dagon
		"DOTA_Tooltip_Ability_item_mjz_dagon"										"Lion's Dagon"
		"DOTA_Tooltip_Ability_item_mjz_dagon_Description"							"<h1>Active: Finger of Death</h1>Rips at an enemy unit, trying to turn it inside-out. Deals massive damage and grows stronger with each life it consumes. \n Buy Aghanim's Scepter!"
		"DOTA_Tooltip_Ability_item_mjz_dagon_Lore"									"Lion's Dagon is also the source of his greatest power, capable of flooding victims with malefic force."
		"DOTA_Tooltip_Ability_item_mjz_dagon_bonus_intellect"						"+$int"
		"DOTA_Tooltip_Ability_item_mjz_dagon_bonus_all_stats"						"+$all"
		"DOTA_Tooltip_Ability_item_mjz_dagon_damage"								"Base Damage: "
		"DOTA_Tooltip_Ability_item_mjz_dagon_range_tooltip"							"Radius: "
		"DOTA_Tooltip_Ability_item_mjz_dagon_damage_per_kill"						"Damage Bonus per Kill: "
		"DOTA_Tooltip_Ability_item_mjz_dagon_kill_grace_duration"					"Kill Grace Duration: "
		"DOTA_Tooltip_Ability_item_mjz_dagon_splash_radius_scepter"					"Scepter Skill Radius: "
		"DOTA_Tooltip_Ability_item_mjz_dagon_creature_health"						"Creature Min Health Limit："
		"DOTA_Tooltip_modifier_item_mjz_dagon_kill_counter"							"Lion's Dagon"
		"DOTA_Tooltip_modifier_item_mjz_dagon_kill_counter_Description"				"After being struck, the attacker will enhance skills."
		"DOTA_Tooltip_modifier_item_mjz_dagon_tooltip"								"Lion's Dagon Kill Counter"
		"DOTA_Tooltip_modifier_item_mjz_dagon_tooltip_Description"					"Deals massive damage and grows stronger with each life it consumes."
		//<<<<
